Orthogroup	Acinetobacter_baumannii	Mycobacterium_tuberculosis
OG0000131		g1586.t1, g2568.t1, g258.t1, g778.t1
OG0000132		g1720.t1, g2299.t1, g263.t1, g269.t1
OG0000133		g1235.t1, g270.t1, g2815.t1, g3314.t1
OG0000134		g1779.t1, g2738.t1, g282.t1, g526.t1
OG0000135		g1763.t1, g1764.t1, g284.t1, g3399.t1
OG0000136		g296.t1, g3258.t1, g655.t1, g699.t1
OG0000137		g1849.t1, g329.t1, g678.t1, g784.t1
OG0000138		g398.t1, g446.t1, g502.t1, g667.t1
OG0000139		g1418.t1, g1900.t1, g2154.t1, g498.t1
OG0000140		g2037.t1, g2042.t1, g2795.t1, g507.t1
OG0000141		g1354.t1, g1884.t1, g512.t1, g930.t1
OG0000142		g1122.t1, g1248.t1, g1733.t1, g571.t1
OG0000143		g590.t1, g612.t1, g621.t1, g656.t1
OG0000144		g1983.t1, g3131.t1, g3252.t1, g591.t1
OG0000145		g1723.t1, g2713.t1, g602.t1, g617.t1
OG0000146		g1957.t1, g2712.t1, g603.t1, g618.t1
OG0000147		g1621.t1, g2233.t1, g2544.t1, g628.t1
OG0000148		g2059.t1, g2499.t1, g2811.t1, g722.t1
OG0000149		g2130.t1, g2283.t1, g3286.t1, g787.t1
OG0000150		g2260.t1, g3069.t1, g3241.t1, g805.t1
OG0000151		g1127.t1, g1846.t1, g3231.t1, g844.t1
OG0000152		g3064.t1, g3071.t1, g3282.t1, g855.t1
OG0000153		g2431.t1, g2874.t1, g3256.t1, g932.t1
OG0000154		g1534.t1, g2044.t1, g2474.t1, g933.t1
OG0000155		g1470.t1, g2798.t1, g3117.t1, g945.t1
OG0000156		g1593.t1, g2354.t1, g3174.t1, g993.t1
OG0000157		g1025.t1, g1187.t1, g1774.t1, g2315.t1
OG0000158		g1149.t1, g1151.t1, g1152.t1, g1719.t1
OG0000159		g1155.t1, g1546.t1, g2223.t1, g3120.t1
OG0000160		g1183.t1, g1419.t1, g1443.t1, g2338.t1
OG0000161		g1195.t1, g1667.t1, g1732.t1, g3454.t1
OG0000162		g1207.t1, g1448.t1, g2646.t1, g2886.t1
OG0000163		g1258.t1, g1358.t1, g1401.t1, g2895.t1
OG0000164		g1343.t1, g2307.t1, g3068.t1, g3162.t1
OG0000165		g1657.t1, g2378.t1, g2529.t1, g2532.t1
OG0000166		g1690.t1, g1722.t1, g3232.t1, g3538.t1
OG0000167		g1736.t1, g2318.t1, g2319.t1, g2320.t1
OG0000168	g2.t1	g3373.t1, g435.t1
OG0000169	g14.t1	g2555.t1, g2846.t1
OG0000170	g20.t1	g1269.t1, g2367.t1
OG0000171	g30.t1, g370.t1	g2943.t1
OG0000172	g315.t1, g33.t1	g2552.t1
OG0000173	g37.t1, g57.t1	g810.t1
OG0000174	g41.t1	g2860.t1, g3289.t1
OG0000175	g68.t1	g2661.t1, g2667.t1
OG0000176	g148.t1, g76.t1	g2869.t1
OG0000177	g439.t1, g85.t1	g1549.t1
OG0000178	g92.t1	g2655.t1, g320.t1
OG0000179	g125.t1, g94.t1	g1691.t1
OG0000180	g100.t1, g212.t1, g99.t1	
OG0000181	g102.t1, g272.t1	g1596.t1
OG0000182	g104.t1, g475.t1	g892.t1
OG0000183	g106.t1	g1801.t1, g3200.t1
OG0000184	g110.t1	g2035.t1, g2360.t1
OG0000185	g112.t1, g265.t1	g1313.t1
OG0000186	g139.t1	g1410.t1, g2163.t1
OG0000187	g142.t1	g1063.t1, g2303.t1
OG0000188	g154.t1	g3260.t1, g811.t1
OG0000189	g163.t1	g1454.t1, g2974.t1
OG0000190	g170.t1, g520.t1	g2937.t1
OG0000191	g174.t1, g258.t1	g2442.t1
OG0000192	g181.t1, g249.t1	g2424.t1
OG0000193	g183.t1, g352.t1	g190.t1
OG0000194	g197.t1, g400.t1	g1466.t1
OG0000195	g198.t1	g156.t1, g2731.t1
OG0000196	g213.t1	g2640.t1, g3333.t1
OG0000197	g215.t1	g1241.t1, g3170.t1
OG0000198	g232.t1	g1180.t1, g3271.t1
OG0000199	g238.t1	g2418.t1, g2902.t1
OG0000200	g241.t1	g1625.t1, g3548.t1
OG0000201	g256.t1, g491.t1	g48.t1
OG0000202	g263.t1	g2469.t1, g3501.t1
OG0000203	g282.t1, g470.t1	g1060.t1
OG0000204	g300.t1, g332.t1	g2123.t1
OG0000205	g368.t1	g2218.t1, g2219.t1
OG0000206	g396.t1	g1852.t1, g684.t1
OG0000207	g397.t1, g482.t1	g334.t1
OG0000208	g401.t1, g422.t1	g740.t1
OG0000209	g414.t1, g449.t1	g2833.t1
OG0000210	g425.t1, g430.t1, g431.t1	
OG0000211	g427.t1	g130.t1, g154.t1
OG0000212	g445.t1, g512.t1	g1112.t1
OG0000213	g446.t1	g2691.t1, g55.t1
OG0000214	g462.t1	g3105.t1, g83.t1
OG0000215	g465.t1	g3101.t1, g86.t1
OG0000216	g467.t1	g3001.t1, g565.t1
OG0000217	g469.t1	g233.t1, g395.t1
OG0000218	g480.t1	g1536.t1, g3325.t1
OG0000219	g493.t1	g1080.t1, g68.t1
OG0000220	g522.t1	g2545.t1, g9.t1
OG0000221		g12.t1, g1803.t1, g1805.t1
OG0000222		g23.t1, g2699.t1, g469.t1
OG0000223		g25.t1, g26.t1, g727.t1
OG0000224		g1559.t1, g31.t1, g3298.t1
OG0000225		g1333.t1, g2217.t1, g32.t1
OG0000226		g1003.t1, g39.t1, g578.t1
OG0000227		g1208.t1, g234.t1, g65.t1
OG0000228		g1042.t1, g139.t1, g1654.t1
OG0000229		g147.t1, g3450.t1, g3498.t1
OG0000230		g1747.t1, g191.t1, g954.t1
OG0000231		g1432.t1, g198.t1, g2849.t1
OG0000232		g1242.t1, g229.t1, g513.t1
OG0000233		g1543.t1, g250.t1, g3279.t1
OG0000234		g271.t1, g3012.t1, g927.t1
OG0000235		g1762.t1, g283.t1, g3402.t1
OG0000236		g1376.t1, g285.t1, g2971.t1
OG0000237		g1776.t1, g290.t1, g3400.t1
OG0000238		g1777.t1, g291.t1, g3401.t1
OG0000239		g313.t1, g669.t1, g670.t1
OG0000240		g1068.t1, g1158.t1, g322.t1
OG0000241		g1961.t1, g2252.t1, g374.t1
OG0000242		g1791.t1, g1834.t1, g388.t1
OG0000243		g490.t1, g581.t1, g782.t1
OG0000244		g500.t1, g629.t1, g631.t1
OG0000245		g1661.t1, g2828.t1, g522.t1
OG0000246		g2824.t1, g2827.t1, g523.t1
OG0000247		g1197.t1, g2026.t1, g534.t1
OG0000248		g3541.t1, g549.t1, g640.t1
OG0000249		g2005.t1, g2114.t1, g566.t1
OG0000250		g2823.t1, g3340.t1, g620.t1
OG0000251		g1550.t1, g1984.t1, g650.t1
OG0000252		g1818.t1, g2813.t1, g653.t1
OG0000253		g1665.t1, g683.t1, g857.t1
OG0000254		g1250.t1, g2577.t1, g747.t1
OG0000255		g3008.t1, g3016.t1, g763.t1
OG0000256		g1797.t1, g3487.t1, g774.t1
OG0000257		g1460.t1, g1461.t1, g806.t1
OG0000258		g3226.t1, g3433.t1, g812.t1
OG0000259		g2002.t1, g3083.t1, g835.t1
OG0000260		g1539.t1, g2158.t1, g841.t1
OG0000261		g3063.t1, g3283.t1, g853.t1
OG0000262		g1422.t1, g2945.t1, g885.t1
OG0000263		g917.t1, g921.t1, g923.t1
OG0000264		g1969.t1, g3228.t1, g955.t1
OG0000265		g2100.t1, g3530.t1, g995.t1
OG0000266		g1007.t1, g1617.t1, g2922.t1
OG0000267		g1014.t1, g1255.t1, g3075.t1
OG0000268		g1023.t1, g1024.t1, g3341.t1
OG0000269		g1072.t1, g1074.t1, g2330.t1
OG0000270		g1141.t1, g1855.t1, g2940.t1
OG0000271		g1154.t1, g1268.t1, g2548.t1
OG0000272		g1204.t1, g1815.t1, g2751.t1
OG0000273		g1231.t1, g2073.t1, g2821.t1
